country,isced,retired,age,female,couple,alwaysdis,eligibleSR,id,age2,Germany,Sweden,Netherland,Spain,Italy,France,Denmark,Greece,Switzerland,Belgium,Israel,CzechRepublic,Poland,Luxembourg,Hungary,Portugal,Slovenia,Estonia,Croatia,isced1,isced2,isced3,isced4,isced5,isced6
Belgium,Isced-97 code 2,0,61,0,1,1,0,809,3721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Belgium,Isced-97 code 3,0,61,1,1,1,0,810,3721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Belgium,Isced-97 code 5,1,74,0,1,1,1,811,5476,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,0,58,1,0,0,0,812,3364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,85,0,0,1,1,814,7225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,72,1,1,0,1,815,5184,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 1,1,72,0,1,1,1,816,5184,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Belgium,Isced-97 code 5,0,60,1,0,1,0,817,3600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,0,62,0,1,1,0,818,3844,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,0,58,1,1,0,0,819,3364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,78,1,0,1,1,820,6084,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 2,0,56,0,1,0,0,821,3136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Belgium,Isced-97 code 5,0,55,1,1,1,0,822,3025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,69,0,1,1,1,823,4761,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,0,69,1,1,1,1,824,4761,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 3,1,89,1,0,1,1,825,7921,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Belgium,Isced-97 code 5,1,81,0,1,1,1,826,6561,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,85,1,1,1,1,827,7225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,64,1,1,0,0,828,4096,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 3,1,66,1,1,0,1,831,4356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Belgium,Isced-97 code 5,1,63,0,1,0,0,832,3969,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,0,58,1,1,1,0,833,3364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,73,1,0,1,1,834,5329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 5,1,71,0,1,1,1,835,5041,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium,Isced-97 code 2,1,74,1,1,0,1,837,5476,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
